text,label
"Hello","Greeting"
"Hi","Greeting"
"Hey","Greeting"
"How are you?","Greeting"
"How are you doing?","Greeting"
"How are you doing today?","Greeting"
"What's up?","Greeting"
"What's going on?","Greeting"
"What's new today?","Greeting"

"What is my checking account balance?","Checking Account Balance"
"checking account balance?","Checking Account Balance"
"How much money do I have?","Checking Account Balance"
"How much money do I have in my checking account?","Checking Account Balance"
"checking balance","Checking Account Balance"
"What's my current balance?","Checking Account Balance"
"Show me my checking account","Checking Account Balance"

"How much money do I have in my savings account?","Savings Account Balance"
"Tell me how much is in my savings?","Savings Account Balance"
"What's my savings?","Savings Account Balance"
"savings balance","Savings Account Balance"
"savings account balance","Savings Account Balance"
"Show me my savings account","Savings Account Balance"

"I need to know my recent transactions.","Transaction History"
"What happened recently?","Transaction History"
"recent expenses","Transaction History"
"recent transactions","Transaction History"
"What are my recent transactions?","Transaction History"
"Show me my last transactions","Transaction History"
"What did I spend money on recently?","Transaction History"
"Show me my spending history","Transaction History"

"What is my credit card limit?","Credit Card Information"
"How much can I spend on my credit card?","Credit Card Information"
"credit card transactions","Credit Card Information"
"What are my credit card transactions?","Credit Card Information"
"What is my credit card balance?","Credit Card Information"
"Show me my credit card details","Credit Card Information"
"What's my credit limit?","Credit Card Information"

"How do I reset my password?","Account Management"
"I forgot my password.","Account Management"
"I cannot log into my account.","Account Management"
"How do I change my address?","Account Management"
"I need to update my contact information.","Account Management"
"How do I change my address?","Account Management"
"I want to update my profile","Account Management"
"Change my account settings","Account Management"

"There is an unauthorized transaction on my account.","Fraud Alert"
"I think my account has been compromised.","Fraud Alert"
"There is a charge that I didn't make.","Fraud Alert"
"My wallet was stolen.","Fraud Alert"
"I was mugged and my wallet was stolen.","Fraud Alert"
"I was recently charged for something I didn't buy.","Fraud Alert"
"Dispute a charge.","Fraud Alert"
"I need to dispute a charge.","Fraud Alert"
"I need to dispute a transaction.","Fraud Alert"

"What's my monthly spending?","Monthly Spending"
"How much did I spend this month?","Monthly Spending"
"Show me my monthly expenses","Monthly Spending"
"What are my monthly expenses?","Monthly Spending"
"Monthly spending report","Monthly Spending"
"Spending summary for this month","Monthly Spending"

"What's my monthly income?","Monthly Income"
"How much did I earn this month?","Monthly Income"
"Show me my monthly earnings","Monthly Income"
"What's my income for this month?","Monthly Income"
"Monthly income report","Monthly Income"
"Earnings summary for this month","Monthly Income"

"Show me my spending by category","Spending Categories"
"What categories do I spend most on?","Spending Categories"
"Breakdown of my expenses","Spending Categories"
"Where do I spend most of my money?","Spending Categories"
"Show me my spending patterns","Spending Categories"
"What are my main expense categories?","Spending Categories"
